Пользователь: matvej
  UID   PID TTY           TIME CMD
  501   616 ??         0:01.22 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
  501   618 ??         0:00.20 /System/Library/PrivateFrameworks/CoreRecents.framework/Versions/A/Support/recentsd
  501   621 ??         1:50.75 /Library/Application Support/Adobe/Adobe Desktop Common/IPCBox/AdobeIPCBroker.app/Contents/MacOS/AdobeIPCBroker -launchedbyvulcan /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXProcess.app/Contents/MacOS/Creative Cloud Content Manager.node
  501   623 ??         0:03.60 /System/Library/PrivateFrameworks/JetCore.framework/Support/jetpackassetd
  501   628 ??         0:02.35 /System/Library/PrivateFrameworks/CloudTelemetry.framework/Versions/A/XPCServices/CloudTelemetryService.xpc/Contents/MacOS/CloudTelemetryService
  501   636 ??         0:14.49 /System/Library/Frameworks/Contacts.framework/Support/postersyncd
  501   637 ??         0:01.75 /System/Library/Frameworks/FinanceKit.framework/financed
  501   638 ??         2:10.86 /System/Library/PrivateFrameworks/MediaAnalysis.framework/Versions/A/mediaanalysisd
  501   644 ??         0:04.88 /System/Library/PrivateFrameworks/TrialServer.framework/Versions/A/XPCServices/TrialArchivingService.xpc/Contents/MacOS/TrialArchivingService
  501   647 ??         0:00.05 /System/Library/PrivateFrameworks/CoreThreadCommissionerService.framework/CoreThreadCommissionerServiced
  501   648 ??         0:00.96 /usr/libexec/bluetoothuserd
  501   652 ??         0:00.03 /System/Library/PrivateFrameworks/CascadeSets.framework/Versions/A/XPCServices/SetStoreUpdateService.xpc/Contents/MacOS/SetStoreUpdateService
  501   653 ??         0:02.35 /usr/libexec/MTLAssetUpgraderD
  501   655 ??         0:15.93 /usr/libexec/swcd
  501   656 ??         0:00.18 /System/Library/Frameworks/MediaExtension.framework/Versions/A/Helpers/MENotificationAgent
  501   657 ??         0:03.08 /usr/libexec/SidecarRelay
  501   658 ??         1:53.27 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
  501   660 ??        15:56.04 /System/Volumes/Preboot/Cryptexes/App/System/Applications/Safari.app/Contents/MacOS/Safari
  501   661 ??         0:01.97 /System/Cryptexes/App/usr/libexec/com.apple.Safari.History
  501   662 ??         0:00.41 /System/Library/Frameworks/ImageIO.framework/Versions/A/XPCServices/ImageIOXPCService.xpc/Contents/MacOS/ImageIOXPCService
  501   664 ??         0:00.55 /System/Library/PrivateFrameworks/WebPrivacy.framework/webprivacyd
  501   666 ??         0:00.38 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
